"CODESTAB","CODMUNNASC","n_nascimentos","ANONASC","n_anomalias"
"2249499",432060,42,2010,0
"2249502",430090,46,2010,0
"2249510",430890,163,2010,1
"2249529",430380,36,2010,0
"2249537",432290,41,2010,0
"2249545",430870,27,2010,0
"2249553",431200,1,2010,0
"2249588",432163,1,2010,0
"2249618",431190,31,2010,0
"2249626",430755,107,2010,1
"2249634",430720,47,2010,0
"2249642",430170,3,2010,0
"2250675",430430,46,2010,0
"2250705",430220,70,2010,0
"2250713",431930,61,2010,0
"2250721",432230,87,2010,0
"2250748",432180,79,2010,0
"2250772",430960,174,2010,0
"2250780",430673,5,2010,0
"2250799",432210,55,2010,0
"2250802",430370,31,2010,0
"2250829",431790,179,2010,0
"2250837",432180,349,2010,3
"2251418",430100,1,2010,0
"2251531",430680,1,2010,0
"2252007",431205,53,2010,0
"2252023",430240,116,2010,1
"2252058",430245,138,2010,1
"2252066",432045,3,2010,0
"2252074",430620,74,2010,0
"2252082",431515,135,2010,1
"2252112",431300,21,2010,0
"2252120",430830,8,2010,0
"2252139",431030,59,2010,0
"2252147",431580,48,2010,0
"2252155",430070,25,2010,0
"2252163",430140,112,2010,0
"2252171",431520,23,2010,0
"2252198",430100,240,2010,1
"2252228",430680,299,2010,1
"2252244",432145,386,2010,6
"2252252",432130,201,2010,0
"2252260",430780,601,2010,4
"2252287",431140,928,2010,7
"2252295",431440,72,2010,1
"2252341",431440,337,2010,2
"2252694",431440,926,2010,10
"2253046",431440,2282,2010,33
"2253054",431440,1212,2010,4
"2254611",431720,939,2010,7
"2254956",431390,522,2010,6
"2254964",431680,1415,2010,17
"2255928",431680,29,2010,0
"2255936",431680,224,2010,0
"2257467",432170,290,2010,2
"2257548",430350,1130,2010,6
"2257556",431240,556,2010,1
"2257564",431600,119,2010,0
"2257572",432110,3,2010,0
"2257645",430860,264,2010,1
"2257785",430545,4,2010,0
"2257807",430730,6,2010,0
"2257815",431350,712,2010,1
"2259826",431750,8,2010,0
"2259850",430330,58,2010,0
"2259869",430520,134,2010,2
"2259877",431915,82,2010,0
"2259893",431890,701,2010,4
"2259907",431750,1223,2010,3
"2259915",431750,1,2010,0
"2259931",430950,83,2010,1
"2259974",431630,52,2010,0
"2259982",431510,131,2010,0
"2260050",432040,150,2010,1
"2260069",430900,216,2010,2
"2261030",431020,84,2010,0
"2261057",431020,950,2010,13
"2261065",431780,449,2010,0
"2261081",430150,1,2010,0
"2261103",430540,48,2010,0
"2261138",431430,25,2010,0
"2261154",430400,62,2010,1
"2261820",430435,2,2010,0
"2261987",430160,1852,2010,16
"2262002",430660,421,2010,2
"2262010",430003,85,2010,1
"2262029",431150,38,2010,1
"2262274",430470,791,2010,1
"2262568",431490,3348,2010,62
"2262959",430845,29,2010,0
"2263068",431535,6,2010,0
"2263092",431670,87,2010,0
"2263297",431645,231,2010,1
"2263432",431643,16,2010,0
"2263769",432030,47,2010,0
"2263823",430610,353,2010,5
"2263858",430610,671,2010,6
"2264587",431490,1,2010,0
"2265052",431490,4541,2010,34
"2265060",431490,19,2010,1
"2265885",430020,51,2010,1
"2265893",430970,18,2010,0
"2265958",430270,2,2010,0
"2266474",430300,1133,2010,8
"2693356",431490,1,2010,0
"2700077",431112,1,2010,0
"2700514",431340,1,2010,0
"2707608",431910,11,2010,0
"2707632",430760,459,2010,3
"2707659",432140,434,2010,4
"2707675",431560,1805,2010,14
"2707918",430700,904,2010,4
"2707942",431260,49,2010,0
"2707950",432150,854,2010,8
"2707969",430463,901,2010,2
"2707977",432280,267,2010,1
"2707993",430030,47,2010,0
"2708000",430600,136,2010,1
"2792974",431570,247,2010,0
"2792990",430260,2,2010,0
"2793008",432160,1043,2010,12
"2793237",430940,238,2010,0
"3006522",431490,3767,2010,31
"3007847",431490,1646,2010,10
"3017060",431720,12,2010,0
"3049442",431760,226,2010,0
"3061337",431710,1,2010,0
"3141330",431410,177,2010,1
"3149153",430810,147,2010,0
"3213943",431340,991,2010,2
"3306453",431490,1,2010,0
"3378691",430580,108,2010,0
"3409732",431115,1,2010,0
"3506959",431020,365,2010,2
"3508528",430460,2635,2010,19
"3567664",431490,706,2010,6
"3596338",430160,11,2010,0
"5005264",431490,1,2010,0
"5026253",431490,3,2010,0
"5395674",431000,6,2010,0
"5433495",431690,1,2010,0
"5525705",431340,1,2010,0
"8007209",432300,871,2010,6
"0000296",431490,71,2011,0
"0000300",430040,33,2011,0
"2223538",430510,1480,2011,19
"2223546",430510,1913,2011,5
"2223562",430510,679,2011,7
"2223570",430510,1790,2011,8
"2223597",430510,1219,2011,7
"2223929",432135,1,2011,0
"2224038",432160,2,2011,0
"2224127",430163,1,2011,0
"2224607",431365,4,2011,0
"2224615",431250,13,2011,0
"2224658",430085,1,2011,0
"2224968",432170,1,2011,0
"2225328",430930,237,2011,1
"2225913",430930,7,2011,0
"2226782",432055,2,2011,0
"2227665",431010,723,2011,4
"2227673",432200,297,2011,3
"2227681",431650,64,2011,2
"2227703",431575,8,2011,0
"2227711",430650,2,2011,0
"2227738",430110,1,2011,0
"2227754",430360,2,2011,0
"2227762",431405,660,2011,7
"2227770",431820,217,2011,0
"2227886",431840,851,2011,3
"2227908",431950,221,2011,0
"2227932",432120,440,2011,1
"2227959",431240,453,2011,4
"2228548",430340,28,2011,1
"2228556",431470,118,2011,2
"2228564",430050,64,2011,0
"2228580",431380,191,2011,1
"2228602",430850,446,2011,1
"2228610",432020,256,2011,0
"2228629",430064,50,2011,0
"2228653",431050,91,2011,0
"2228688",431270,216,2011,1
"2228718",432190,1,2011,0
"2228726",432190,461,2011,2
"2228734",431590,148,2011,0
"2230844",431870,1,2011,0
"2232014",430460,2,2011,0
"2232022",431870,1996,2011,7
"2232030",430770,1412,2011,16
"2232049",430920,1920,2011,3
"2232057",431340,1181,2011,4
"2232073",430390,865,2011,6
"2232081",430060,1996,2011,32
"2232103",430310,1535,2011,24
"2232138",430640,293,2011,0
"2232146",431340,1961,2011,12
"2232154",431990,1293,2011,8
"2232162",432000,1277,2011,6
"2232170",431480,198,2011,3
"2232189",431080,354,2011,2
"2232928",430450,595,2011,4
"2232995",431560,1298,2011,17
"2233312",431880,527,2011,2
"2233320",431450,58,2011,0
"2233339",431420,6,2011,0
"2233347",431460,121,2011,5
"2233355",431850,180,2011,0
"2233371",431880,1,2011,0
"2233398",431730,392,2011,3
"2233401",431100,265,2011,1
"2233428",430130,104,2011,0
"2233754",430690,3,2011,0
"2234386",430010,54,2011,1
"2234394",432070,257,2011,1
"2234408",432070,72,2011,0
"2234416",430280,240,2011,0
"2234424",430120,151,2011,0
"2234432",430690,429,2011,0
"2234459",431700,28,2011,0
"2234467",431402,1,2011,0
"2234475",432026,65,2011,0
"2235307",430530,57,2011,0
"2235323",431370,637,2011,3
"2235366",432195,139,2011,1
"2235382",430590,1,2011,0
"2235404",432010,321,2011,8
"2235412",431610,86,2011,0
"2235420",431610,60,2011,1
"2235447",431620,40,2011,0
"2235609",430440,450,2011,7
"2236338",432253,141,2011,1
"2236346",432067,39,2011,0
"2236354",432270,207,2011,5
"2236362",430420,323,2011,0
"2236370",432260,793,2011,1
"2237148",431490,3,2011,0
"2237156",431490,2,2011,0
"2237199",431490,4,2011,0
"2237253",431490,3724,2011,64
"2237326",431490,1,2011,0
"2237571",431490,4666,2011,93
"2237598",431490,3446,2011,42
"2237601",431490,3716,2011,132
"2237814",431490,2,2011,0
"2237822",431490,1302,2011,40
"2237849",431490,23,2011,21
"2238810",432030,44,2011,1
"2240335",430790,692,2011,1
"2241013",430645,21,2011,0
"2241021",430210,1389,2011,13
"2241048",432250,1094,2011,3
"2241064",431290,38,2011,1
"2241072",430080,108,2011,0
"2241102",431320,175,2011,1
"2241110",430230,158,2011,3
"2241129",430235,102,2011,2
"2241137",430480,162,2011,2
"2241145",430820,241,2011,3
"2241153",430910,609,2011,6
"2241161",431330,386,2011,3
"2241196",431112,1,2011,0
"2241218",431400,82,2011,0
"2241226",431900,156,2011,0
"2242745",431960,1,2011,0
"2244098",431120,222,2011,4
"2244101",430800,45,2011,0
"2244128",431310,115,2011,0
"2244136",431980,35,2011,0
"2244144",431690,2,2011,0
"2244152",431110,124,2011,0
"2244187",431210,38,2011,0
"2244209",431447,30,2011,0
"2244225",432220,212,2011,2
"2244233",431550,61,2011,1
"2244241",430290,17,2011,0
"2244268",431690,87,2011,0
"2244276",431690,1413,2011,9
"2244284",431690,904,2011,3
"2244292",431690,8,2011,0
"2244306",431690,2000,2011,44
"2244314",431940,127,2011,1
"2244322",431960,314,2011,0
"2244330",431810,118,2011,1
"2244349",431740,48,2011,0
"2244357",431740,729,2011,5
"2246368",430597,1,2011,0
"2246740",432090,379,2011,1
"2246767",431660,195,2011,3
"2246783",432100,135,2011,0
"2246791",431860,191,2011,3
"2246805",432050,1,2011,0
"2246813",430750,216,2011,0
"2246872",430490,91,2011,0
"2246902",431265,148,2011,0
"2246910",431265,116,2011,0
"2246929",431410,784,2011,9
"2246937",430630,114,2011,0
"2246953",431180,588,2011,5
"2246961",432080,648,2011,5
"2246988",431410,2809,2011,12
"2246996",431410,9,2011,0
"2247011",431170,1,2011,0
"2247038",431220,36,2011,0
"2247046",431360,36,2011,0
"2247062",431130,373,2011,3
"2247631",431800,1,2011,0
"2248190",432240,1990,2011,20
"2248204",431830,746,2011,6
"2248212",431710,49,2011,0
"2248220",431710,1023,2011,7
"2248239",431640,469,2011,5
"2248247",431530,241,2011,4
"2248271",431060,571,2011,5
"2248298",431800,845,2011,14
"2248328",430040,1059,2011,6
"2248751",430720,14,2011,0
"2249472",430700,813,2011,12
"2249499",432060,53,2011,2
"2249502",430090,63,2011,0
"2249510",430890,181,2011,0
"2249529",430380,15,2011,0
"2249537",432290,26,2011,0
"2249545",430870,7,2011,0
"2249553",431200,1,2011,0
"2249561",431090,1,2011,0
"2249596",431190,5,2011,0
"2249618",431190,25,2011,1
"2249626",430755,80,2011,0
"2249634",430720,28,2011,0
"2250373",432180,2,2011,0
"2250675",430430,40,2011,0
"2250705",430220,19,2011,0
"2250713",431930,53,2011,0
"2250721",432230,83,2011,0
"2250764",430045,1,2011,0
"2250772",430960,164,2011,0
"2250799",432210,49,2011,0
"2250802",430370,59,2011,1
"2250810",431500,1,2011,0
"2250829",431790,191,2011,0
"2250837",432180,515,2011,1
"2252007",431205,56,2011,1
"2252023",430240,140,2011,0
"2252058",430245,113,2011,0
"2252066",432045,6,2011,0
"2252074",430620,80,2011,0
"2252082",431515,112,2011,1
"2252112",431300,31,2011,0
"2252139",431030,64,2011,2
"2252147",431580,58,2011,0
"2252155",430070,13,2011,0
"2252163",430140,99,2011,0
"2252171",431520,20,2011,0
"2252198",430100,217,2011,1
"2252228",430680,330,2011,3
"2252244",432145,455,2011,5
"2252252",432130,243,2011,1
"2252260",430780,601,2011,8
"2252287",431140,1166,2011,13
"2252295",431440,69,2011,0
"2252341",431440,422,2011,3
"2252694",431440,933,2011,8
"2253046",431440,2204,2011,27
"2253054",431440,1620,2011,6
"2254611",431720,980,2011,8
"2254956",431390,546,2011,1
"2254964",431680,1497,2011,26
"2255103",431680,1,2011,0
"2255928",431680,32,2011,0
"2255936",431680,185,2011,0
"2257270",430545,1,2011,0
"2257467",432170,297,2011,1
"2257548",430350,1244,2011,6
"2257556",431240,628,2011,2
"2257564",431600,110,2011,0
"2257572",432110,1,2011,0
"2257645",430860,288,2011,2
"2257785",430545,1,2011,0
"2257815",431350,770,2011,5
"2259850",430330,77,2011,1
"2259869",430520,128,2011,0
"2259877",431915,10,2011,0
"2259893",431890,694,2011,7
"2259907",431750,1384,2011,9
"2259931",430950,72,2011,0
"2259974",431630,52,2011,1
"2259982",431510,123,2011,0
"2260050",432040,191,2011,0
"2260069",430900,183,2011,2
"2260204",431020,1,2011,0
"2260476",430500,2,2011,0
"2261030",431020,35,2011,1
"2261057",431020,955,2011,3
"2261065",431780,410,2011,0
"2261103",430540,50,2011,0
"2261138",431430,22,2011,0
"2261154",430400,4,2011,0
"2261243",430965,1,2011,0
"2261987",430160,1861,2011,22
"2262002",430660,406,2011,6
"2262010",430003,88,2011,0
"2262029",431150,38,2011,0
"2262274",430470,800,2011,3
"2262568",431490,3390,2011,64
"2262959",430845,11,2011,0
"2263068",431535,1,2011,0
"2263092",431670,22,2011,0
"2263297",431645,58,2011,0
"2263769",432030,12,2011,0
"2263823",430610,340,2011,8
"2263831",431535,3,2011,0
"2263858",430610,674,2011,7
"2263866",430845,15,2011,0
"2263874",431643,8,2011,0
"2263882",431645,102,2011,1
"2263890",431670,69,2011,0
"2264587",431490,2,2011,0
"2265052",431490,4673,2011,39
"2265060",431490,13,2011,0
"2265168",431490,2,2011,0
"2265184",431490,1,2011,0
"2265885",430020,57,2011,0
"2265893",430970,16,2011,0
"2265958",430270,1,2011,0
"2266407",430300,1,2011,0
"2266474",430300,1171,2011,9
"2693380",431490,1,2011,0
"2693402",431490,2,2011,0
"2693801",431490,2,2011,0
"2707632",430760,455,2011,4
"2707659",432140,550,2011,0
"2707667",430990,1,2011,0
"2707675",431560,1450,2011,15
"2707918",430700,997,2011,12
"2707942",431260,33,2011,0
"2707950",432150,777,2011,2
"2707969",430463,955,2011,5
"2707977",432280,254,2011,3
"2707993",430030,44,2011,0
"2708000",430600,174,2011,0
"2792974",431570,145,2011,2
"2792990",430260,1,2011,0
"2793008",432160,1081,2011,3
"2793237",430940,236,2011,0
"2817853",431560,1,2011,0
"3006522",431490,4155,2011,32
"3007847",431490,1795,2011,4
"3017060",431720,5,2011,0
"3049442",431760,309,2011,2
"3141330",431410,188,2011,2
"3149153",430810,136,2011,0
"3213943",431340,1173,2011,7
"3361810",431490,1,2011,0
"3378691",430580,129,2011,0
"3492575",431490,2,2011,0
"3506959",431020,469,2011,2
"3508528",430460,2938,2011,26
"3567664",431490,849,2011,13
"3596338",430160,25,2011,0
"3626245",430460,2,2011,0
"3775941",431490,1,2011,0
"5005264",431490,1,2011,0
"5026253",431490,8,2011,0
"5395674",431000,219,2011,4
"5433495",431690,1,2011,0
"8007209",432300,773,2011,4
"0000296",431490,88,2012,0
"0000300",430040,16,2012,0
"2223538",430510,1411,2012,8
"2223546",430510,1831,2012,1
"2223562",430510,618,2012,6
"2223570",430510,2018,2012,3
"2223597",430510,1102,2012,7
"2223910",432150,1,2012,0
"2223929",432135,1,2012,0
"2224097",431760,1,2012,0
"2224127",430163,2,2012,0
"2224607",431365,7,2012,0
"2224615",431250,2,2012,0
"2224852",430676,1,2012,0
"2224860",430676,1,2012,0
"2224887",430676,1,2012,0
"2225328",430930,240,2012,0
"2225913",430930,5,2012,0
"2226782",432055,1,2012,0
"2227665",431010,781,2012,5
"2227673",432200,268,2012,1
"2227681",431650,36,2012,0
"2227703",431575,3,2012,0
"2227738",430110,1,2012,0
"2227754",430360,36,2012,0
"2227762",431405,612,2012,9
"2227770",431820,233,2012,0
"2227835",430190,1,2012,0
"2227886",431840,860,2012,9
"2227894",430930,1,2012,0
"2227908",431950,195,2012,2
"2227932",432120,533,2012,0
"2227959",431240,485,2012,2
"2228548",430340,41,2012,1
"2228556",431470,114,2012,0
"2228564",430050,60,2012,1
"2228580",431380,171,2012,0
"2228602",430850,460,2012,0
"2228610",432020,221,2012,3
"2228629",430064,41,2012,0
"2228653",431050,84,2012,0
"2228688",431270,217,2012,0
"2228726",432190,482,2012,1
"2228734",431590,177,2012,1
"2229978",430920,1,2012,0
"2231247",432300,1,2012,0
"2232022",431870,1684,2012,8
"2232030",430770,1480,2012,20
"2232049",430920,1976,2012,6
"2232057",431340,1321,2012,3
"2232073",430390,858,2012,8
"2232081",430060,2071,2012,46
"2232103",430310,1649,2012,18
"2232138",430640,284,2012,1
"2232146",431340,1967,2012,7
"2232154",431990,1302,2012,8
"2232162",432000,1246,2012,8
"2232170",431480,131,2012,0
"2232189",431080,389,2012,2
"2232928",430450,548,2012,6
"2232995",431560,1451,2012,8
"2233312",431880,517,2012,4
"2233320",431450,11,2012,0
"2233339",431420,2,2012,0
"2233347",431460,150,2012,2
"2233355",431850,158,2012,0
"2233398",431730,374,2012,4
"2233401",431100,270,2012,2
"2233428",430130,108,2012,1
"2233436",430710,2,2012,0
"2233746",430690,1,2012,0
"2233754",430690,1,2012,0
"2234386",430010,64,2012,0
"2234394",432070,257,2012,1
"2234408",432070,59,2012,0
"2234416",430280,350,2012,2
"2234424",430120,132,2012,3
"2234432",430690,498,2012,0
"2234459",431700,26,2012,0
"2234467",431402,3,2012,0
"2234475",432026,46,2012,0
"2235307",430530,24,2012,0
"2235323",431370,676,2012,4
"2235366",432195,121,2012,3
"2235382",430590,1,2012,0
"2235404",432010,329,2012,4
"2235412",431610,143,2012,0
"2235420",431610,1,2012,0
"2235447",431620,63,2012,0
"2235609",430440,469,2012,1
"2236338",432253,110,2012,0
"2236346",432067,71,2012,0
"2236354",432270,213,2012,0
"2236362",430420,231,2012,0
"2236370",432260,858,2012,6
"2237148",431490,3,2012,0
"2237156",431490,4,2012,0
"2237199",431490,1,2012,0
"2237253",431490,3530,2012,109
"2237563",431490,1,2012,0
"2237571",431490,4621,2012,98
"2237598",431490,3337,2012,50
"2237601",431490,3780,2012,113
"2237814",431490,2,2012,0
"2237822",431490,1314,2012,68
"2237849",431490,31,2012,26
"2237873",431490,1,2012,1
"2238292",431330,1,2012,0
"2239566",430510,1,2012,0
"2240335",430790,775,2012,0
"2241013",430645,27,2012,0
"2241021",430210,1491,2012,11
"2241048",432250,1118,2012,3
"2241064",431290,22,2012,0
"2241072",430080,106,2012,1
"2241102",431320,168,2012,2
"2241110",430230,127,2012,1
"2241129",430235,107,2012,2
"2241137",430480,154,2012,1
"2241145",430820,279,2012,3
"2241153",430910,611,2012,6
"2241161",431330,384,2012,2
"2241196",431112,1,2012,0
"2241218",431400,83,2012,0
"2241226",431900,205,2012,0
"2244098",431120,167,2012,0
"2244101",430800,25,2012,0
"2244128",431310,128,2012,0
"2244136",431980,36,2012,0
"2244144",431690,3,2012,0
"2244152",431110,56,2012,0
"2244179",431075,1,2012,0
"2244187",431210,48,2012,0
"2244209",431447,27,2012,0
"2244217",430840,1,2012,0
"2244225",432220,155,2012,2
"2244233",431550,58,2012,0
"2244241",430290,10,2012,0
"2244268",431690,99,2012,0
"2244276",431690,1439,2012,14
"2244284",431690,982,2012,8
"2244292",431690,4,2012,0
"2244306",431690,2097,2012,35
"2244314",431940,124,2012,0
"2244322",431960,256,2012,0
"2244330",431810,97,2012,0
"2244349",431740,32,2012,1
"2244357",431740,708,2012,5
"2245108",431180,2,2012,0
"2246740",432090,371,2012,0
"2246767",431660,172,2012,1
"2246783",432100,130,2012,1
"2246791",431860,194,2012,1
"2246813",430750,211,2012,1
"2246821",430550,5,2012,0
"2246848",431125,1,2012,0
"2246872",430490,94,2012,0
"2246902",431265,172,2012,1
"2246910",431265,90,2012,0
"2246929",431410,668,2012,1
"2246937",430630,96,2012,0
"2246953",431180,543,2012,0
"2246961",432080,558,2012,6
"2246988",431410,2928,2012,29
"2246996",431410,2,2012,0
"2247038",431220,29,2012,0
"2247046",431360,49,2012,0
"2247062",431130,401,2012,3
"2248190",432240,1891,2012,19
"2248204",431830,788,2012,5
"2248212",431710,55,2012,0
"2248220",431710,1003,2012,8
"2248239",431640,469,2012,4
"2248247",431530,247,2012,3
"2248271",431060,529,2012,5
"2248298",431800,824,2012,9
"2248328",430040,1003,2012,10
"2249472",430700,825,2012,9
"2249499",432060,49,2012,0
"2249502",430090,50,2012,0
"2249510",430890,173,2012,0
"2249529",430380,48,2012,2
"2249537",432290,17,2012,0
"2249545",430870,9,2012,0
"2249553",431200,1,2012,0
"2249618",431190,19,2012,0
"2249626",430755,89,2012,0
"2249634",430720,26,2012,0
"2249650",431070,1,2012,0
"2250675",430430,42,2012,1
"2250713",431930,56,2012,0
"2250721",432230,80,2012,1
"2250772",430960,128,2012,0
"2250799",432210,38,2012,0
"2250802",430370,46,2012,0
"2250829",431790,209,2012,0
"2250837",432180,545,2012,1
"2251531",430680,1,2012,0
"2252007",431205,30,2012,0
"2252023",430240,129,2012,0
"2252058",430245,109,2012,1
"2252066",432045,1,2012,0
"2252074",430620,57,2012,0
"2252082",431515,93,2012,0
"2252112",431300,40,2012,0
"2252139",431030,57,2012,0
"2252147",431580,28,2012,0
"2252155",430070,14,2012,0
"2252163",430140,91,2012,0
"2252171",431520,10,2012,0
"2252198",430100,248,2012,1
"2252228",430680,372,2012,0
"2252244",432145,471,2012,7
"2252252",432130,146,2012,1
"2252260",430780,678,2012,8
"2252287",431140,1163,2012,9
"2252295",431440,69,2012,2
"2252341",431440,474,2012,3
"2252694",431440,962,2012,10
"2253046",431440,2051,2012,21
"2253054",431440,1652,2012,4
"2253224",431440,1,2012,0
"2253666",431440,1,2012,0
"2254611",431720,1025,2012,8
"2254956",431390,545,2012,9
"2254964",431680,1679,2012,9
"2255928",431680,15,2012,0
"2255936",431680,140,2012,0
"2257270",430545,2,2012,0
"2257467",432170,269,2012,2
"2257548",430350,1194,2012,11
"2257556",431240,814,2012,8
"2257564",431600,121,2012,2
"2257572",432110,6,2012,0
"2257645",430860,310,2012,0
"2257785",430545,1,2012,0
"2257815",431350,791,2012,5
"2259850",430330,44,2012,0
"2259869",430520,106,2012,0
"2259893",431890,680,2012,5
"2259907",431750,1404,2012,18
"2259931",430950,91,2012,0
"2259974",431630,33,2012,0
"2259982",431510,96,2012,0
"2260050",432040,160,2012,2
"2260069",430900,203,2012,4
"2260204",431020,1,2012,0
"2261030",431020,4,2012,0
"2261057",431020,987,2012,9
"2261065",431780,455,2012,0
"2261103",430540,56,2012,0
"2261138",431430,16,2012,0
"2261820",430435,1,2012,1
"2261987",430160,1846,2012,18
"2262002",430660,431,2012,1
"2262010",430003,124,2012,2
"2262029",431150,9,2012,1
"2262274",430470,863,2012,2
"2262568",431490,3260,2012,61
"2262959",430845,23,2012,0
"2263068",431535,1,2012,0
"2263092",431670,80,2012,0
"2263297",431645,171,2012,0
"2263432",431643,4,2012,0
"2263769",432030,60,2012,0
"2263823",430610,366,2012,4
"2263858",430610,693,2012,11
"2264188",431490,1,2012,0
"2264587",431490,5,2012,0
"2264862",431490,1,2012,0
"2265052",431490,4916,2012,43
"2265060",431490,8,2012,0
